search_text,title,link,description,comp_name,address,email,telephone_number,keywords,contact_person,type_or_sector,founded_year,revenue,funding,headquarters,No_of_employees,company_status,address_confidence,tp_confidence,headquarters_confidence,contact_confidence,Total_confidence
Asset maintenance software in australia or newzealand,Ivanti: IT Asset & Service Management Software Solutions,https://www.ivanti.com.au/,Ivanti provides solutions for IT asset management  IT service management  endpoint security  supply chain management & more. Discover the power of unified IT management when you get in touch with us today.,ivanti,"['Nilesh Shah, Flat 4, 105 Symonds Street, Grafton, Auckland1010NZ', 'https://opencorporates.com/companies/nz/6336070']",None,None,"['service management', 'facilities service management', 'it service automation', 'delivery hr service management', 'self service', 'it service costs', 'it services', 'patch management', 'ivanti service manager solution', 'customer service helpdesk software']","[['John Flavin', 'CEO'], 'https://www.ivanti.com.au/company/executive-team']","['IT - Software, Utilities', 'from_classification_model']","['12 July 2017', 'https://opencorporates.com/companies/nz/6336070']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/6336070']",None,"['Overseas ASIC Company', 'https://opencorporates.com/companies/nz/6336070']",0.0,0.0,0.0,0.0,0.0
Community care software in australia or newzealand,Salesforce: We Bring Companies and Customers Together,https://www.salesforce.com/,Grow your business with the #1 CRM and cloud solution an all-in-one platform for Sales  Service  Marketing and more. Try it free with a 30-day trial today. ,salesforce,"['Level 12, Tower 3 Darling Park, 201 Sussex Street, Sydney NSW 2000 Australia', 'https://www.salesforce.com/au/?ir=1']","['sales@cloudmasons.com.au', 'https://www.crunchbase.com/organization/cloudmasons']","['+612-6272-1441', 'https://www.salesforce.com/kr/']","['de generación de', 'de la sécurité de nos', 'responsable de la protection de votre mot de passe', 'désactivation de la collecte de', 'auprès de l’autorité de', 'moyen de témoins de', 'de la limitation de l’accès', 'de confidentialité ou de sécurité', 'afronden van de cursus hebben de leerlingen de mogelijkheid', 'de supprimer entièrement de nos']","[['Pip Marlow', 'CEO'], 'https://www.salesforce.com/au/blog/authors/pip-marlow']","[['Cloud Data ServicesMobile AppsReal Estate'], 'https://www.crunchbase.com/organization/cloudmasons']","['2015', 'https://www.crunchbase.com/organization/cloudmasons']","['163k', 'https://app.avention.com/company/310d38c0-ec5f-3547-a235-44233a146881#report/company_summary']","['$138.1M', 'None']","[' Adelaide, South Australia, Australia', 'https://www.crunchbase.com/organization/cloudmasons']","['1,250', 'None']","['Private', 'https://www.crunchbase.com/organization/cloudmasons']",0.25,0.25,0.0,0.0,0.125
Asset maintenance software in australia or newzealand,Aurecon - An international engineering_ design and advisory ...,https://www.aurecongroup.com/,Aurecon consulting engineers use their engineering expertise to provide advisory  design  delivery and asset management services to bring ideas to life.,aurecongroup,"['L 8 850 Collins St Docklands, VICTORIA, 3008 Australia', 'https://www.dnb.com/business-directory/company-profiles.aurecon_group_pty_ltd.91e2b441d2377279664e7e1624ffdb1f.html']","['macau@aurecongroup.com', 'https://www.aurecongroup.com:443/projects/by-location/yemen']","['+61 3 9975 3000', 'https://www.crunchbase.com/organization/aurecon-engineering']","['aurecon bridge building competition aurecon', 'aurecon australia', 'infrastructure aurecon', 'aurecon helps', 'human centred design aurecon', 'aurecon clients', 'aurecon', 'power aurecon', 'energy aurecon', 'aurecon teams']","[['Angus Leitch', 'Managing_Director'], 'https://www.aurecongroup.com/about/latest-news/2020/august/angus-leitch-aurecon-board']","[['ConstructionIndustrial EngineeringInfrastructure'], 'https://www.crunchbase.com/organization/aurecon-engineering']","['2009', 'https://www.crunchbase.com/organization/aurecon-engineering']","['$694.44 million USD', 'https://www.dnb.com/business-directory/company-profiles.aurecon_group_pty_ltd.91e2b441d2377279664e7e1624ffdb1f.html']",None,"[' Docklands, Victoria, Australia', 'https://www.crunchbase.com/organization/aurecon-engineering']",None,"['Private', 'https://www.crunchbase.com/organization/aurecon-engineering']",0.375,0.25,0.0,0.0,0.15625
Asset maintenance software in australia or newzealand,Gecko MMS | Gecko Maintenance Management Systems,https://www.geckomms.com.au/,_Gecko MMS can provide the perfect solution for your planned  routine or urgent Building  Property and Asset Maintenance Management requirements._Gecko MMS can provide the perfect solution for your planned  routine or urgent Building  Property and Asset Maintenance Management requirements.,geckomms,"['PO Box 878 Yeppoon QLD 4703', 'https://www.geckomms.com.au/Documents/Occupational.rtf']","['servicecentre@geckomms.com.au', 'https://www.geckomms.com.au/Documents/Occupational.rtf']","['+64557460508', 'https://www.geckomms.com.au/Documents/Occupational.rtf']","['ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000ffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffff00ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffff0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000ffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffff0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffff0000ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffff0000fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff7f794', 'ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\nffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffcea5ad8c4242f7f7f7ffffffffffffffffffffffff']","[['Bob Durie ', 'Managing Director Australia_Gecko ...'], 'from linkedin search google']","['IT - Software, Construction', 'from_classification_model']",None,None,None,None,None,None,0.25,0.25,0.0,0.0,0.125
Equipment maintenance software in australia or newzealand,FPE - Food Processing Equipment Ltd - Australia & New ...,https://www.fpe.net.au/,FPE is a leading supplier of food processing equipment in Australia & New Zealand - with hygiene  inspection  handling  cook & chill systems & more.,fpe.net.au,"['549 NZ 0800 100 003  Head Office – 878 Main North Road Pooraka South Australia 5095', 'https://www.fpe.net.au/privacy-policy/']","['eat@yumefood.com.au', 'https://www.crunchbase.com/organization/yume-food-australia']","['+61 408 665 518', 'https://www.fpe.net.au/contact-us/']","['food processing equipment', 'food processing equipment parts', 'food safety equipment', 'food processing equipment manufacturer', 'food processing cleaning equipment', 'food inspection equipment', 'food processing machines', 'food manufacturing equipment', 'food packaging equipment', 'food analysis equipment']","[['Brian Carey', 'CEO'], 'https://www.fpe.net.au/brian-carey-meat-industry/']","[['AppsFood and BeverageMarketplaceMobile Apps'], 'https://www.crunchbase.com/organization/yume-food-australia']","['Dec 2014', 'https://www.crunchbase.com/organization/yume-food-australia']","['$440,352 USD', 'https://www.dnb.com/business-directory/company-profiles.fpe_nominees_pty_ltd.5020da61a8e2412eddb37bfe702daad3.html']",None,"[' South Melbourne, Victoria, Australia', 'https://www.crunchbase.com/organization/yume-food-australia']",None,"['Private', 'https://www.crunchbase.com/organization/yume-food-australia']",0.625,0.25,0.375,0.0,0.3125
Care management software in australia or newzealand,Sage,https://www.sage.com/,Sage Australia offers software and solutions for every business in a range in industries. Get in touch today to find out more.,sage,"['L 11 Zenith Tower B 821 Pacific Hwy Chatswood, New South Wales, 2067 Australia', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['sales@sagetechnology.com.au', 'https://www.crunchbase.com/organization/sage-technology']","['+61-298844000', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['de planos de', 'de injeção de', 'de indicadores de', 'de sage', 'de sécurisation et d’optimisation de gestion de trésorerie', 'de la gestion de la', 'de medidas de eficiência', 'serviços de injeção de', 'de tomada de decisão', 'bénéficiez de services de']","[['John Maley ', 'Asia Pacific People Director_Sage'], 'None']","[['ConstructionProductivity ToolsSoftware'], 'https://www.crunchbase.com/organization/sage-technology']","['1990', 'https://www.crunchbase.com/organization/sage-technology']","['72M', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']",None,"[' Morwell, Victoria, Australia', 'https://www.crunchbase.com/organization/sage-technology']","['327', 'https://app.avention.com/company/e9e26623-c3d7-38e8-9b5a-f68da51baed5#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/sage-technology']",0.0,0.0,0.25,0.0,0.0625
Asset management software in australia or newzealand,Volaris Group | Home,https://www.volarisgroup.com/,Volaris Group offers vertical market software companies the ability to achieve growth objectives while retaining independence and focusing on the needs of customers and employees.,volarisgroup,"['ANTHONY HARPER, Level 6, Chorus House, 66 Wyndham Street, Auckland1140NZ', 'https://opencorporates.com/companies/nz/6123130']","['antonio.espiritosanto@volarisgroup.com', 'https://www.volarisgroup.com/pt/contato']",None,"['e de consultoria de processos de rh', 'volaris group volaris group', 'de viagens e de pessoal', 'sua base de clientes e taxa de rotação de clientes', 'fornecedora líder de tecnologia e serviços de captação de recursos', 'de tecnologia de transporte', 'de estratégias de crescimento', 'fornecedora de soluções de', 'de fusões e aquisições e', 'de centenas de aquisições']","[['William Robert DELANEY', ' director'], 'https://opencorporates.com/companies/nz/6123130']","['Finance and insurance, Utilities', 'from_classification_model']","['10 October 2016', 'https://opencorporates.com/companies/nz/6123130']",None,None,"['New Zealand', 'https://opencorporates.com/companies/nz/6123130']",None,"['NZ Limited Company', 'https://opencorporates.com/companies/nz/6123130']",0.0,0.0,0.0,0.0,0.0
Asset management software in australia or newzealand,Attaché Help Centre - Attaché Software,https://myattache.attachesoftware.com/,Dashboard. Recently viewed. My Work. Notifications 0; Tasks. Other. Switch to desktop version · Log in. Navigation. Confluence Mobile. Help Centre. Authors ...,myattache.attachesoftware,None,"['info@attachesoftware.com', 'https://www.crunchbase.com/organization/attach%C3%A9-software']","['+61 2 9929 8700', 'https://www.crunchbase.com/organization/attach%C3%A9-software']","['attaché attaché', 'attaché payroll attaché forms designer labels', 'attaché payroll', 'using employee onboarding attaché payroll', 'access attaché payroll', 'payroll options attaché', 'attaché payroll masterfiles', 'attaché bi payroll', 'administering attaché payroll', 'ledger attaché']","['Mike Rich', 'founder(s)', 'https://www.crunchbase.com/organization/attach%C3%A9-software']","[['AccountingInformation ServicesInformation TechnologySoftware'], 'https://www.crunchbase.com/organization/attach%C3%A9-software']","['1981', 'https://www.crunchbase.com/organization/attach%C3%A9-software']",None,None,"[' Port Macquarie, New South Wales, Australia', 'https://www.crunchbase.com/organization/attach%C3%A9-software']",None,"['Private', 'https://www.crunchbase.com/organization/attach%C3%A9-software']",0.0,0.0,0.0,0.0,0.0
Incident management software australia or newzealand,Datacom: Home,https://www.datacom.co.nz/,Datacom designs  builds and runs IT systems and process for business.,datacom,"['Level  11 , 66 St Georges Terrace Perth, WA 6000', 'https://www.datacom.co.nz/Contact/Perth.aspx']","['info@datacom.com.au', 'https://www.crunchbase.com/organization/datacom']","['+64 9 303 1480', 'https://www.datacom.co.nz/Special-Pages/Contact-Us-Form.aspx?cid=2992&ref=2990']","['datacom services', 'datacom customers', 'ko datacom te', 'datacom support technology', 'datacom partners', 'datacom employees', 'customer satisfaction datacom partners', 'datacom group', 'new chair datacom', 'datacom queensland']","[['Gregory Lance Davidson', 'Director'], 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","[['AppsInformation Technology'], 'https://www.crunchbase.com/organization/datacom']","['1965', 'https://www.crunchbase.com/organization/datacom']","['716M', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']",None,"[' Wellington, Wellington, New Zealand', 'https://www.crunchbase.com/organization/datacom']","['4.6k', 'https://app.avention.com/company/d1064cc7-fec7-3b31-95db-1f4fbf24875d#report/company_summary']","['Private', 'https://www.crunchbase.com/organization/datacom']",0.25,0.25,0.0,0.0,0.125
Infrastructure management software in australia or newzealand,Spanning Backup,https://spanning.com/,The industry leader in SaaS data protection for G Suite  Office 365 & Salesforce. Get enterprise-class  automated backup and recovery that you can trust from Spanning.,spanning,None,"['dpo@spanning.com', 'https://spanning.com/gdpr/']",None,"['saas data security', 'saas data', 'cloud data', 'business data', 'saas application data', 'saas data loss', 'data backup', 'saas data protection', 'other business data', 'restored data']","[['Shadi Taleb', 'CEO'], 'https://au.linkedin.com/in/shadi-taleb-65b32114']","['IT - Software, Utilities', 'from_classification_model']",None,None,None,None,None,None,0.0,0.0,0.0,0.0,0.0
Infrastructure maintenance software in australia or newzealand,APA Group homepage | APA Group,https://www.apa.com.au/,APA Group homepage ,apa,"['L 25 580 George St Sydney, NEW SOUTH WALES, 2000 Australia', 'https://www.dnb.com/business-directory/company-profiles.apa_ee_australia_pty_limited.4e1cc8851182d3537c208c2f855b8395.html']","['apawebsitefeedback@apa.com.au', 'https://www.crunchbase.com/organization/apa-group']","['+61) 1800 992 312', 'https://www.apa.com.au/investors/annual-meeting/']","['apa group', 'apa group distributions', 'gas transmission services apa group', 'apa group securityholders', 'apa group management', 'apa group securityh distribution information', 'apa group ceo', 'feb apa group', 'apa group notice', '28-mar-02 apa group']","[['Peter Fredricson ', 'Chief Financial Officer_APA Group'], 'None']","[['EnergyInfrastructureService Industry'], 'https://www.crunchbase.com/organization/apa-group']","['2000', 'https://www.crunchbase.com/organization/apa-group']","['$1.68 billion USD', 'https://www.dnb.com/business-directory/company-profiles.apa_ee_australia_pty_limited.4e1cc8851182d3537c208c2f855b8395.html']",None,"[' Sydney, New South Wales, Australia', 'https://www.crunchbase.com/organization/apa-group']",None,"['Public', 'https://www.crunchbase.com/organization/apa-group']",0.375,0.25,0.375,0.0,0.25
